species,N_days,seed,auc_mean,auc_std,n_folds_used,n_pos_days_total,n_days_used_median
Rough-toothed dolphin,1,8,0.35512407646206956,0.009511526883211247,2,8,1
Rough-toothed dolphin,1,9,0.5745985627896837,0.20807257483580105,3,8,1
Rough-toothed dolphin,2,0,0.3670989546702834,0.07402019122850106,3,8,2
Rough-toothed dolphin,2,1,0.4738803325908667,0.2854955098053795,3,8,2
Rough-toothed dolphin,2,2,0.45445845716276145,0.1422425792261858,3,8,2
Rough-toothed dolphin,2,3,0.3886228161636616,0.10165622955897305,3,8,2
Rough-toothed dolphin,2,4,0.526332156308959,0.1290409142897579,3,8,2
Rough-toothed dolphin,2,5,0.436491242448431,0.14307781573694045,3,8,2
Rough-toothed dolphin,2,6,0.5545169681337344,0.2359484465588034,3,8,2
Rough-toothed dolphin,2,7,0.2659665294967451,0.026349804310751734,3,8,2
Rough-toothed dolphin,2,8,0.4456815109009163,0.3046365346838169,3,8,2
Rough-toothed dolphin,2,9,0.5701176377854892,0.2306663973283802,3,8,2
Rough-toothed dolphin,4,0,0.30088820418711987,0.1091754827372792,3,8,4
Rough-toothed dolphin,4,1,0.4049400717097242,0.17764491071478616,3,8,4
Rough-toothed dolphin,4,2,0.289103401666907,0.08785617506017589,3,8,4
Rough-toothed dolphin,4,3,0.2729654546415226,0.09320716284273119,3,8,4
Rough-toothed dolphin,4,4,0.3942928315739531,0.15072231806475708,3,8,4
Rough-toothed dolphin,4,5,0.41869201011211343,0.266783905542342,3,8,4
Rough-toothed dolphin,4,6,0.43540833930876904,0.2526477386368974,3,8,4
Rough-toothed dolphin,4,7,0.39391551232324384,0.1512374262825958,3,8,4
Rough-toothed dolphin,4,8,0.3460753685361444,0.08248058480694721,3,8,4
Rough-toothed dolphin,4,9,0.37285883402392966,0.1822020180518736,3,8,4
Rough-toothed dolphin,8,0,0.33811279121074206,0.12266923395613719,3,8,5
Rough-toothed dolphin,8,1,0.33811279121074206,0.12266923395613719,3,8,5
Rough-toothed dolphin,8,2,0.33811279121074206,0.12266923395613719,3,8,5
Rough-toothed dolphin,8,3,0.33811279121074206,0.12266923395613719,3,8,5
Rough-toothed dolphin,8,4,0.33811279121074206,0.12266923395613719,3,8,5
Rough-toothed dolphin,8,5,0.33811279121074206,0.12266923395613719,3,8,5
Rough-toothed dolphin,8,6,0.33811279121074206,0.12266923395613719,3,8,5
Rough-toothed dolphin,8,7,0.33811279121074206,0.12266923395613719,3,8,5
Rough-toothed dolphin,8,8,0.33811279121074206,0.12266923395613719,3,8,5
