species,N_days,seed,auc_mean,auc_std,n_folds_used,n_pos_days_total,n_days_used_median
False killer whale,1,5,0.6571619293752835,0.22029816928428728,5,13,1
False killer whale,1,6,0.7320288772680883,0.11904458294405437,5,13,1
False killer whale,1,7,0.7246106389007998,0.13825276476189471,5,13,1
False killer whale,1,8,0.7339987559751383,0.2022498396556424,4,13,1
False killer whale,1,9,0.7349271859959301,0.07252522536606358,4,13,1
False killer whale,2,0,0.7205957825141395,0.1595251334002725,5,13,2
False killer whale,2,1,0.7613810999649206,0.12254906265825768,5,13,2
False killer whale,2,2,0.6766023538326211,0.16126906939123314,5,13,2
False killer whale,2,3,0.6372490019425476,0.20117608268725024,5,13,2
False killer whale,2,4,0.7318306769059456,0.06706794078550014,5,13,2
False killer whale,2,5,0.7738366105645291,0.11127355170453788,5,13,2
False killer whale,2,6,0.8607967833041641,0.10695624547630365,5,13,2
False killer whale,2,7,0.7303780575277957,0.1468982530904059,5,13,2
False killer whale,2,8,0.7875566870007383,0.1234202866281619,5,13,2
False killer whale,2,9,0.7900665223361271,0.12358284915035132,5,13,2
False killer whale,4,0,0.8037705493319052,0.037717194717839714,5,13,4
False killer whale,4,1,0.7502174386626125,0.23481869747998693,5,13,4
False killer whale,4,2,0.8263778759026097,0.07324511982780259,5,13,4
