evaluator,return,theta,hours,N,seed,pctl
eval_at,"[0.37856525496974935, 40.909090909090914, 438, 1025, 719, 1463]",0.30049177929759024,25.055555555555554,10,1,55.5
eval_at,"[0.3742437337942956, 40.82926829268293, 433, 1023, 724, 1456]",0.32331065416336063,25.055555555555554,10,1,56.0
eval_at,"[0.3759723422644771, 40.909090909090914, 435, 1025, 722, 1460]",0.34659365057945235,25.055555555555554,10,1,56.5
eval_at,"[0.3759723422644771, 41.148558758314856, 435, 1031, 722, 1466]",0.3683119064569467,25.055555555555554,10,1,57.0
eval_at,"[0.3794295592048401, 40.709534368070955, 439, 1020, 718, 1459]",0.390541425347328,25.055555555555554,10,1,57.5
eval_at,"[0.3794295592048401, 40.789356984478935, 439, 1022, 718, 1461]",0.4145620495080943,25.055555555555554,10,1,58.0
eval_at,"[0.37856525496974935, 40.629711751662974, 438, 1018, 719, 1456]",0.439038884937763,25.055555555555554,10,1,58.5
eval_at,"[0.3777009507346586, 40.589800443458984, 437, 1017, 720, 1454]",0.46109215438365936,25.055555555555554,10,1,59.0
eval_at,"[0.38202247191011235, 40.15077605321508, 442, 1006, 715, 1448]",0.48532787576317765,25.055555555555554,10,1,59.5
eval_at,"[0.3863439930855661, 40.310421286031044, 447, 1010, 710, 1457]",0.5047568559646606,25.055555555555554,10,1,60.0
eval_at,"[0.38720829732065687, 39.951219512195124, 448, 1001, 709, 1449]",0.5264667922258377,25.055555555555554,10,1,60.5
eval_at,"[0.3863439930855661, 40.0709534368071, 447, 1004, 710, 1451]",0.5483542644977568,25.055555555555554,10,1,61.0
eval_at,"[0.3889369057908384, 39.55210643015521, 450, 991, 707, 1441]",0.5683043837547302,25.055555555555554,10,1,61.5
eval_at,"[0.3915298184961106, 39.27272727272727, 453, 984, 704, 1437]",0.5918224191665651,25.055555555555554,10,1,62.0
eval_at,"[0.3889369057908384, 39.11308203991131, 450, 980, 707, 1430]",0.6150342524051666,25.055555555555554,10,1,62.5
eval_at,"[0.3923941227312014, 39.631929046563194, 454, 993, 703, 1447]",0.6406931602954864,25.055555555555554,10,1,63.0
