Recall,FP_h,TP,FP,evaluator,theta,pctl,theta_q,theta_p,pctl_q,pctl_p
0.025064822817631807,6.585365853658537,29,165,eval_at,2.5356093525886547,97.5,,,,
0.01901469317199654,5.4279379157427945,22,136,eval_at,2.6745355892181393,98.0,,,,
0.013828867761452032,3.9512195121951224,16,99,eval_at,2.8351966011524197,98.5,,,,
0.00864304235090752,2.7937915742793793,10,70,eval_at,3.097573275566103,99.0,,,,
0.007778738115816767,1.1175166297117518,9,28,eval_at,3.515012593269334,99.5,,,,
0.5099394987035436,48.09312638580931,590,1205,eval_at,0.10904895886778831,50.0,,,,
0.5125324114088159,47.6940133037694,593,1195,eval_at,0.1301919303089378,50.5,,,,
0.5125324114088159,48.05321507760532,593,1204,eval_at,0.15375760108232508,51.0,,,,
0.5151253241140882,47.89356984478936,596,1200,eval_at,0.17413908205926418,51.5,,,,
0.5142610198789974,48.29268292682927,595,1210,eval_at,0.1974159896373749,52.0,,,,
0.5142610198789974,48.53215077605322,595,1216,eval_at,0.21588158383965503,52.5,,,,
0.5185825410544511,48.1729490022173,600,1207,eval_at,0.23861214056611066,53.0,,,,
0.5203111495246326,47.97339246119734,602,1202,eval_at,0.26185544788837434,53.5,,,,
0.5229040622299049,48.01330376940133,605,1203,eval_at,0.2824584150314332,54.0,,,,
0.5272255834053586,47.77383592017739,610,1197,eval_at,0.3039244891703129,54.5,,,,
0.5298184961106309,48.09312638580931,613,1205,eval_at,0.3262671649456025,55.0,,,,
0.5315471045808124,47.89356984478936,615,1200,eval_at,0.3467662724852562,55.5,,,,
0.533275713050994,47.85365853658537,617,1199,eval_at,0.3696902775764466,56.0,,,,
0.5341400172860847,47.49445676274945,618,1190,eval_at,0.39403564170002897,56.5,,,,
0.5367329299913569,47.61419068736142,621,1193,eval_at,0.4158895432949063,57.0,,,,
0.5341400172860847,47.29490022172949,618,1185,eval_at,0.4408461287617683,57.5,,,,
0.5384615384615384,47.09534368070954,623,1180,eval_at,0.4636224222183222,58.0,,,,
0.5384615384615384,46.3769401330377,623,1162,eval_at,0.4862138393521306,58.5,,,,
0.5419187554019015,46.41685144124169,627,1163,eval_at,0.5100289094448089,59.0,,,,
0.543647363872083,46.41685144124169,629,1163,eval_at,0.53369487285614,59.5,,,,
0.5445116681071738,46.17738359201774,630,1157,eval_at,0.5609069585800168,60.0,,,,
0.5427830596369922,45.97782705099779,628,1152,eval_at,0.5843599221110344,60.5,,,,
0.547104580812446,45.49889135254989,633,1140,eval_at,0.6091355311870574,61.0,,,,
0.5479688850475367,45.019955654102,634,1128,eval_at,0.6337484446167945,61.5,,,,
0.5479688850475367,45.019955654102,634,1128,eval_at,0.6624158799648286,62.0,,,,
0.5479688850475367,44.94013303769402,634,1126,eval_at,0.6881835907697678,62.5,,,,
0.5479688850475367,44.66075388026608,634,1119,eval_at,0.7135676008462906,63.0,,,,
0.5488331892826275,44.101995565410206,635,1105,eval_at,0.7418914434313776,63.5,,,,
0.547104580812446,43.463414634146346,633,1089,eval_at,0.7703533840179444,64.0,,,,
0.5453759723422644,43.2239467849224,631,1083,eval_at,0.8025784644484519,64.5,,,,
0.547104580812446,42.94456762749446,633,1076,eval_at,0.8315627306699753,65.0,,,,
0.5488331892826275,42.186252771618626,635,1057,eval_at,0.8658838188648225,65.5,,,,
0.5496974935177182,41.587583148558764,636,1042,eval_at,0.8965475130081176,66.0,,,,
0.5488331892826275,41.028824833702885,635,1028,eval_at,0.9232272216677666,66.5,,,,
0.5479688850475367,40.54988913525499,634,1016,eval_at,0.9576035112142568,67.0,,,,
0.547104580812446,40.15077605321508,633,1006,eval_at,0.9907978430390358,67.5,,,,
0.550561797752809,39.75166297117517,637,996,eval_at,1.0248948192596439,68.0,,,,
0.5488331892826275,39.51219512195122,635,990,eval_at,1.0617841202020648,68.5,,,,
0.5522904062229905,38.63414634146342,639,968,eval_at,1.0956259822845453,69.0,,,,
0.5531547104580813,37.83592017738359,640,948,eval_at,1.1298832172155377,69.5,,,,
0.5557476231633535,36.99778270509978,643,927,eval_at,1.1659016728401184,70.0,,,,
