pctl_q,theta_q,pctl_p,theta_p,Recall,FP_h,TP,FP,Pred
98,2.663555364608762,83.0,2.425430073738098,0.4822817631806396,24.106430155210646,558,604,1162
98,2.663555364608762,83.5,2.5196004760265356,0.4822817631806396,23.26829268292683,558,583,1141
98,2.663555364608762,84.0,2.6304725933074953,0.48055315471045806,22.54988913525499,556,565,1121
98,2.663555364608762,84.5,2.7276616275310506,0.4788245462402766,21.671840354767184,554,543,1097
98,2.663555364608762,85.0,2.8380211830139164,0.47536732929991354,20.953436807095347,550,525,1075
98,2.663555364608762,85.5,2.955703905820846,0.4701815038893691,20.235033259423506,544,507,1051
98,2.663555364608762,86.0,3.081022396087646,0.4658599827139153,19.47671840354767,539,488,1027
98,2.663555364608762,86.5,3.2219283390045166,0.46499567847882456,19.03769401330377,538,477,1015
98,2.663555364608762,87.0,3.3582502841949444,0.4606741573033708,18.0,533,451,984
98,2.663555364608762,87.5,3.52468004822731,0.4546240276577355,17.082039911308204,526,428,954
98,2.663555364608762,88.0,3.7051178741455093,0.445980985306828,16.603104212860313,516,416,932
98,2.663555364608762,88.5,3.874412554502486,0.43215211754537597,16.044345898004437,500,402,902
98,2.663555364608762,89.0,4.0701590919494635,0.41832324978392393,15.565410199556542,484,390,874
98,2.663555364608762,89.5,4.255578207969666,0.41659464131374246,15.206208425720622,482,381,863
98,2.663555364608762,90.0,4.457726860046381,0.3975799481417459,14.847006651884701,460,372,832
98,2.663555364608762,90.5,4.675087914466858,0.3837510803802939,14.487804878048781,444,363,807
98,2.663555364608762,91.0,4.933004894256597,0.3707865168539326,13.968957871396897,429,350,779
98,2.663555364608762,91.5,5.220453071594238,0.3560933448573898,13.210643015521065,412,331,743
98,2.663555364608762,92.0,5.517267513275148,0.34485738980121,12.572062084257206,399,315,714
98,2.663555364608762,92.5,5.841959142684942,0.32843560933448573,12.053215077605323,380,302,682
98,2.663555364608762,93.0,6.205128560066222,0.3111495246326707,11.694013303769403,360,293,653
98,2.663555364608762,93.5,6.654482979774491,0.2990492653414002,11.015521064301552,346,276,622
98,2.663555364608762,94.0,7.212375669479336,0.28522039757994816,10.656319290465634,330,267,597
98,2.663555364608762,94.5,7.794489538669587,0.2757130509939499,10.137472283813748,319,254,573
98,2.663555364608762,95.0,8.410855770111041,0.26188418323249785,9.578713968957873,303,240,543
98,2.663555364608762,95.5,9.304570846557606,0.2445980985306828,9.299334811529935,283,233,516
98,2.663555364608762,96.0,10.050942497253422,0.23249783923941228,8.860310421286032,269,222,491
98,2.663555364608762,96.5,10.904608006477345,0.2143474503025065,8.42128603104213,248,211,459
98,2.663555364608762,97.0,11.678171405792227,0.19014693171996544,7.782705099778271,220,195,415
98,2.663555364608762,97.5,12.63719093799591,0.15730337078651685,7.303769401330378,182,183,365
98,2.663555364608762,98.0,13.963846740722648,0.1313742437337943,6.824833702882484,152,171,323
98,2.663555364608762,98.5,16.57019313812255,0.10803802938634399,6.3458980044345905,125,159,284
98,2.663555364608762,99.0,20.60003761291506,0.07346585998271392,5.787139689578715,85,145,230
98,2.663555364608762,99.5,28.334656648635683,0.03975799481417459,5.388026607538803,46,135,181
97,2.389908382892608,50.0,0.09077733382582664,0.4943820224719101,55.91574279379158,572,1401,1973
97,2.389908382892608,50.5,0.11212093323469155,0.49351771823681934,55.91574279379158,571,1401,1972
97,2.389908382892608,51.0,0.13464516386389755,0.4943820224719101,56.03547671840355,572,1404,1976
97,2.389908382892608,51.5,0.15403672441840174,0.49524632670700086,55.79600886917961,573,1398,1971
97,2.389908382892608,52.0,0.17796872973442074,0.4969749351771824,55.87583148558759,575,1400,1975
97,2.389908382892608,52.5,0.19627721086144476,0.5012964563526361,55.75609756097561,580,1397,1977
97,2.389908382892608,53.0,0.22048529401421563,0.5064822817631807,55.51662971175167,586,1391,1977
97,2.389908382892608,53.5,0.24122495941817762,0.5090751944684528,55.71618625277162,589,1396,1985
97,2.389908382892608,54.0,0.2610533964633942,0.5090751944684528,55.95565410199557,589,1402,1991
97,2.389908382892608,54.5,0.28204435005784095,0.5125324114088159,55.71618625277162,593,1396,1989
97,2.389908382892608,55.0,0.30234529823064815,0.5142610198789974,55.63636363636364,595,1394,1989
97,2.389908382892608,55.5,0.32569405794143685,0.5159896283491789,55.67627494456763,597,1395,1992
97,2.389908382892608,56.0,0.3478954076766968,0.5168539325842697,55.55654101995566,598,1392,1990
97,2.389908382892608,56.5,0.3691490027308463,0.5194468452895419,55.3569844789357,601,1387,1988
97,2.389908382892608,57.0,0.3913524010777473,0.5220397579948142,55.31707317073171,604,1386,1990
97,2.389908382892608,57.5,0.41571238785982123,0.5211754537597234,55.3569844789357,603,1387,1990
97,2.389908382892608,58.0,0.4399468266963957,0.5229040622299049,55.3569844789357,605,1387,1992
97,2.389908382892608,58.5,0.46726177960634213,0.5246326707000865,55.23725055432373,607,1384,1991
97,2.389908382892608,59.0,0.49008097410202023,0.5246326707000865,54.63858093126386,607,1369,1976
97,2.389908382892608,59.5,0.5134383669495581,0.5289541918755402,54.15964523281597,612,1357,1969
97,2.389908382892608,60.0,0.536166477203369,0.5298184961106309,54.07982261640799,613,1355,1968
97,2.389908382892608,60.5,0.5595470631122589,0.5306828003457217,54.31929046563193,614,1361,1975
97,2.389908382892608,61.0,0.5817095768451691,0.5324114088159032,54.51884700665189,616,1366,1982
97,2.389908382892608,61.5,0.6042246025800704,0.5324114088159032,54.07982261640799,616,1355,1971
