species,N_days,seed,auc_mean,auc_std,n_folds_used,n_pos_days_total,n_days_used_median
Sperm whale,1,8,0.5240422214118032,0.13760685431196085,3,32,1
Sperm whale,1,9,0.60482430249581,0.16585497216703518,4,32,1
Sperm whale,2,0,0.49663060471788417,0.0789760781009121,5,32,2
Sperm whale,2,1,0.6094669310026312,0.19499354578161304,5,32,2
Sperm whale,2,2,0.5042639050354067,0.1101275077178172,5,32,2
Sperm whale,2,3,0.5850308105121893,0.10113381806144281,5,32,2
Sperm whale,2,4,0.5658802937311233,0.08181690881356993,5,32,2
Sperm whale,2,5,0.5995216905974461,0.055298323894562504,5,32,2
Sperm whale,2,6,0.6609824557832409,0.15455039550061367,5,32,2
Sperm whale,2,7,0.5542231063135877,0.11203070005503768,5,32,2
Sperm whale,2,8,0.583402260600085,0.12184489509668014,5,32,2
Sperm whale,2,9,0.60404296766419,0.1677291422022806,5,32,2
Sperm whale,4,0,0.7558013979796893,0.10580064613134205,5,32,4
Sperm whale,4,1,0.6203576789618236,0.18059074471742143,5,32,4
Sperm whale,4,2,0.5688572772200036,0.10077669334783941,5,32,4
Sperm whale,4,3,0.7018460399184463,0.08790922375761005,5,32,4
Sperm whale,4,4,0.5664382083657596,0.08805932925868568,5,32,4
Sperm whale,4,5,0.5959383700574914,0.14587849008985002,5,32,4
Sperm whale,4,6,0.6352206301791196,0.17653516310640482,5,32,4
Sperm whale,4,7,0.5834121047301704,0.171781113314481,5,32,4
Sperm whale,4,8,0.44578076670724825,0.2059805963326701,5,32,4
Sperm whale,4,9,0.5268202905312274,0.15849917700650498,5,32,4
Sperm whale,8,0,0.6902304297498206,0.16950805036494437,5,32,8
Sperm whale,8,1,0.5853812352490144,0.08421264925946065,5,32,8
Sperm whale,8,2,0.6265949158804791,0.09823242933918984,5,32,8
Sperm whale,8,3,0.6738837671843021,0.12427263535045338,5,32,8
Sperm whale,8,4,0.5681771524836352,0.08624857037234447,5,32,8
Sperm whale,8,5,0.6954956596454086,0.10655041110327557,5,32,8
Sperm whale,8,6,0.6120801808785062,0.08400530777149283,5,32,8
Sperm whale,8,7,0.6537482513104441,0.12932365019995481,5,32,8
Sperm whale,8,8,0.5581872472214194,0.1163615168681235,5,32,8
Sperm whale,8,9,0.5307283970129097,0.1825521806086071,5,32,8
Sperm whale,16,0,0.5854834883262923,0.18837191781698145,5,32,16
Sperm whale,16,1,0.6751246138555356,0.10279287030800158,5,32,16
Sperm whale,16,2,0.7288230763117033,0.09255735625223167,5,32,16
Sperm whale,16,3,0.6724455289183233,0.09659203653415015,5,32,16
Sperm whale,16,4,0.6952760825297842,0.11442336328768801,5,32,16
Sperm whale,16,5,0.659291858445235,0.15066733042352706,5,32,16
Sperm whale,16,6,0.6974769958083493,0.09437231107800918,5,32,16
Sperm whale,16,7,0.7291403538295145,0.08579964109150674,5,32,16
Sperm whale,16,8,0.7297544654464528,0.14887835990342624,5,32,16
Sperm whale,16,9,0.651964581380269,0.1149933453333432,5,32,16
Sperm whale,all,0,0.7347565284905146,0.1307421774503231,5,32,26
False killer whale,1,0,0.7020539706084049,0.11833753105617065,5,13,1
False killer whale,1,1,0.7951987979769738,0.16135471805003263,5,13,1
False killer whale,1,2,0.8332795063224786,0.09456840734307641,4,13,1
False killer whale,1,3,0.8346569091536381,0.10342696045611002,3,13,1
False killer whale,1,4,0.6840347508739764,0.14411289337722377,5,13,1
False killer whale,1,5,0.6791108243840458,0.20275752688027845,5,13,1
False killer whale,1,6,0.757308374878281,0.11423271406722811,5,13,1
False killer whale,1,7,0.7132132864410826,0.1681380182688956,5,13,1
False killer whale,1,8,0.7435505167327332,0.2003497996974898,4,13,1
False killer whale,1,9,0.7382683882856876,0.09141658874147666,4,13,1
False killer whale,2,0,0.7264647015849717,0.15710820506447223,5,13,2
False killer whale,2,1,0.7552307409356513,0.1506425463027895,5,13,2
False killer whale,2,2,0.6712358590858505,0.16604989989650687,5,13,2
False killer whale,2,3,0.6455494780841646,0.2025078695523114,5,13,2
False killer whale,2,4,0.7277037224571801,0.0677383316686836,5,13,2
False killer whale,2,5,0.7980167333541471,0.1043574576753507,5,13,2
False killer whale,2,6,0.8814699617216604,0.08714622312584962,5,13,2
False killer whale,2,7,0.73402464379877,0.17274610498770265,5,13,2
False killer whale,2,8,0.7993248149286597,0.11785169977800652,5,13,2
False killer whale,2,9,0.7955634055739975,0.12373949660117621,5,13,2
False killer whale,4,0,0.8183688215384409,0.05296778821169658,5,13,4
False killer whale,4,1,0.7556925526944168,0.2195908930476915,5,13,4
False killer whale,4,2,0.839309858809323,0.07714698759505102,5,13,4
False killer whale,4,3,0.8038414392984332,0.13172066513758382,5,13,4
False killer whale,4,4,0.8573270819244897,0.1145810636326714,5,13,4
False killer whale,4,5,0.8153628493768694,0.06532189966547557,5,13,4
False killer whale,4,6,0.8664038219386268,0.11215930443426869,5,13,4
False killer whale,4,7,0.8374861680108466,0.09093101748846158,5,13,4
False killer whale,4,8,0.8062100213547634,0.1439995790712058,5,13,4
False killer whale,4,9,0.7404141869802892,0.1318518830507613,5,13,4
False killer whale,8,0,0.9005532017487587,0.04097314316860379,5,13,8
False killer whale,8,1,0.874458767389101,0.12253405976599162,5,13,8
False killer whale,8,2,0.8606180195265971,0.07543946662519002,5,13,8
False killer whale,8,3,0.8771041348570258,0.12567295109042234,5,13,8
False killer whale,8,4,0.89517450823611,0.10400038110586228,5,13,8
False killer whale,8,5,0.9154264859960805,0.0426119469610036,5,13,8
False killer whale,8,6,0.8882036715286802,0.1032855542625212,5,13,8
False killer whale,8,7,0.8142994032388687,0.16104553746492645,5,13,8
